"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 27 16:11:41 CST 2020","Sun Sep 27 16:11:44 CST 2020","2232","","test_mo_off_list","TestOofList","","","test_click_elements_002[off_area_click-{""page"":1,""pageSize"":20,""areaMax"":500,""areaMin"":300,""type"":0,""cityId"":310100}]",""
"passed","Sun Sep 27 16:11:44 CST 2020","Sun Sep 27 16:11:46 CST 2020","2083","","test_mo_off_list","TestOofList","","","test_click_elements_002[off_people_click-]",""
"passed","Sun Sep 27 16:13:10 CST 2020","Sun Sep 27 16:13:14 CST 2020","4150","","test_mo_shouye_about","TestShouYe","","","test_click_elements_003[sy_remen_click-xiezilou_element]",""
"passed","Sun Sep 27 16:11:28 CST 2020","Sun Sep 27 16:11:30 CST 2020","2086","","test_mo_off_list","TestOofList","","","test_click_elements_002[off_subway_click-]",""
"passed","Sun Sep 27 16:12:15 CST 2020","Sun Sep 27 16:12:18 CST 2020","2858","","test_mo_pro_list","TestProList","","","test_click_elements_002[pro_businessid_click-{""page"":1,""pageSize"":20,""addressId"":310104,""businessId"":2223,""type"":0,""cityId"":310100}]","{""page"":1,""pageSize"":20,""addressId"":310104,""businessId"":2223,""type"":0,""cityId"":310100}"
"passed","Sun Sep 27 16:10:16 CST 2020","Sun Sep 27 16:10:20 CST 2020","4273","","test_mo_entrust_to_find","TestEntrustToFind","","","test_input_mobile_success_003",""
"passed","Sun Sep 27 16:10:52 CST 2020","Sun Sep 27 16:10:54 CST 2020","2559","","test_mo_join_list","TestJoinList","","","test_click_elements_002[join_subwaystationid_click-{""page"":1,""pageSize"":20,""metroId"":68,""subwayId"":840,""type"":0,""featureIds"":[],""cityId"":310100}]",""
"passed","Sun Sep 27 16:11:16 CST 2020","Sun Sep 27 16:11:20 CST 2020","3155","","test_mo_join_list","TestJoinList","","","test_queriy_es_003",""
"passed","Sun Sep 27 16:12:54 CST 2020","Sun Sep 27 16:12:56 CST 2020","2795","","test_mo_pro_list","TestProList","","","test_click_elements_002[pro_feature_click-{""page"":1,""pageSize"":20,""type"":0,""featureIds"":[""395""],""cityId"":310100}]","{""page"":1,""pageSize"":20,""type"":0,""featureIds"":[""395""],""cityId"":310100}"
"passed","Sun Sep 27 16:12:36 CST 2020","Sun Sep 27 16:12:36 CST 2020","526","","test_mo_pro_list","TestProList","","","test_click_elements_002[pro_area_buxian_click-]",""
"passed","Sun Sep 27 16:14:26 CST 2020","Sun Sep 27 16:14:30 CST 2020","4221","","test_mo_shouye_about","TestShouYe","","","test_click_elements_004[sy_zixun_click-zixun_element]",""
"passed","Sun Sep 27 16:12:39 CST 2020","Sun Sep 27 16:12:41 CST 2020","2901","","test_mo_pro_list","TestProList","","","test_click_elements_002[pro_nump_click-{""page"":1,""pageSize"":20,""numBerMax"":15,""numBerMin"":8,""type"":0,""cityId"":310100}]","{""page"":1,""pageSize"":20,""numBerMax"":15,""numBerMin"":8,""type"":0,""cityId"":310100}"
"skipped","Sun Sep 27 16:13:10 CST 2020","Sun Sep 27 16:13:10 CST 2020","0","","test_mo_shouye_about","TestShouYe","","","test_group_elements_002[sy_brand]","检查页面元素是否存在的用例"
"passed","Sun Sep 27 16:12:12 CST 2020","Sun Sep 27 16:12:15 CST 2020","3001","","test_mo_pro_list","TestProList","","","test_click_elements_002[pro_contryid_click-{""page"":1,""pageSize"":20,""addressId"":310104,""type"":0,""cityId"":310100}]","{""page"":1,""pageSize"":20,""addressId"":310104,""type"":0,""cityId"":310100}"
"passed","Sun Sep 27 16:10:02 CST 2020","Sun Sep 27 16:10:02 CST 2020","7","","test_mo_entrust_to_find","TestEntrustToFind","","","test_title_001",""
"passed","Sun Sep 27 16:11:53 CST 2020","Sun Sep 27 16:11:55 CST 2020","2075","","test_mo_off_list","TestOofList","","","test_click_elements_002[off_price_buxian_click-]",""
"passed","Sun Sep 27 16:15:21 CST 2020","Sun Sep 27 16:15:29 CST 2020","8172","","test_mo_shouye_about","TestShouYe","","","test_more_service_006[more_service_element-through_element-through_element_check]",""
"passed","Sun Sep 27 16:10:49 CST 2020","Sun Sep 27 16:10:52 CST 2020","2332","","test_mo_join_list","TestJoinList","","","test_click_elements_002[join_subwayid_click-{""page"":1,""pageSize"":20,""metroId"":68,""type"":0,""featureIds"":[],""cityId"":310100}]",""
"passed","Sun Sep 27 16:12:18 CST 2020","Sun Sep 27 16:12:20 CST 2020","2093","","test_mo_pro_list","TestProList","","","test_click_elements_002[pro_subway_click-]",""
"skipped","Sun Sep 27 16:13:10 CST 2020","Sun Sep 27 16:13:10 CST 2020","0","","test_mo_shouye_about","TestShouYe","","","test_group_elements_002[sy_property]","检查页面元素是否存在的用例"
"passed","Sun Sep 27 16:11:08 CST 2020","Sun Sep 27 16:11:10 CST 2020","2316","","test_mo_join_list","TestJoinList","","","test_click_elements_002[join_fixtures_click-{""page"":1,""pageSize"":20,""decorate"":""简单装修"",""type"":0,""featureIds"":[],""cityId"":310100}]",""
"passed","Sun Sep 27 16:14:43 CST 2020","Sun Sep 27 16:14:51 CST 2020","8224","","test_mo_shouye_about","TestShouYe","","","test_more_service_006[more_service_element-place_element-place_element_check]",""
"passed","Sun Sep 27 16:13:10 CST 2020","Sun Sep 27 16:13:10 CST 2020","4","","test_mo_shouye_about","TestShouYe","","","test_title_001",""
"passed","Sun Sep 27 16:11:12 CST 2020","Sun Sep 27 16:11:14 CST 2020","2340","","test_mo_join_list","TestJoinList","","","test_click_elements_002[join_brand_click-{""page"":1,""pageSize"":20,""type"":0,""featureIds"":[],""jointBrandId"":2,""cityId"":310100}]",""
"passed","Sun Sep 27 16:12:04 CST 2020","Sun Sep 27 16:12:07 CST 2020","3146","","test_mo_off_list","TestOofList","","","test_queriy_es_003",""
"passed","Sun Sep 27 16:11:24 CST 2020","Sun Sep 27 16:11:26 CST 2020","2333","","test_mo_off_list","TestOofList","","","test_click_elements_002[off_contryid_click-{""page"":1,""pageSize"":20,""addressId"":310104,""type"":0,""cityId"":310100}]",""
"passed","Sun Sep 27 16:15:32 CST 2020","Sun Sep 27 16:15:41 CST 2020","8209","","test_mo_shouye_about","TestShouYe","","","test_more_service_006[more_service_element-service_element-service_element_check]",""
"passed","Sun Sep 27 16:12:41 CST 2020","Sun Sep 27 16:12:44 CST 2020","2080","","test_mo_pro_list","TestProList","","","test_click_elements_002[pro_nump_buxian_click-]",""
"failed","Sun Sep 27 16:12:00 CST 2020","Sun Sep 27 16:12:02 CST 2020","2220","","test_mo_off_list","TestOofList","","","test_click_elements_002[off_feature_click-{""page"":1,""pageSize"":20,""type"":0,""featureIds"":[""395""],""cityId"":310100}]",""
"passed","Sun Sep 27 16:12:23 CST 2020","Sun Sep 27 16:12:26 CST 2020","2794","","test_mo_pro_list","TestProList","","","test_click_elements_002[pro_subwaystationid_click-{""page"":1,""pageSize"":20,""metroId"":68,""subwayId"":840,""type"":0,""cityId"":310100}]","{""page"":1,""pageSize"":20,""metroId"":68,""subwayId"":840,""type"":0,""cityId"":310100}"
"passed","Sun Sep 27 16:13:24 CST 2020","Sun Sep 27 16:13:28 CST 2020","4079","","test_mo_shouye_about","TestShouYe","","","test_click_elements_003[type_of_off-bgshi_element]",""
